,user_id,time,0,date,pred_duration,pred_duration_int
20,112033,2021-11-12T17:48:02Z,2021-11-22 18:14:24.000000000,2021-11-12 00:00:00.000000000,10 days 18:14:24,10
44,112076,2021-11-12T17:50:36Z,2021-12-05 08:38:23.999999999,2021-11-12 00:00:00.000000000,23 days 08:38:23.999999999,23
74,107445,2021-11-12T20:27:32Z,2021-12-18 19:12:00.000000000,2021-11-12 00:00:00.000000000,36 days 19:12:00,36
73,107445,2021-11-12T20:27:04Z,2021-12-24 16:19:12.000000000,2021-11-12 00:00:00.000000000,42 days 16:19:12,42
69,112197,2021-11-12T18:56:24Z,2021-11-13 12:28:48.000000000,2021-11-12 00:00:00.000000000,1 days 12:28:48,1
5,109742,2021-11-12T21:11:56Z,2022-01-17 04:48:00.000000000,2021-11-12 00:00:00.000000000,66 days 04:48:00,66
6,109742,2021-11-12T21:17:35Z,2022-01-27 06:43:12.000000000,2021-11-12 00:00:00.000000000,76 days 06:43:12,76
68,112197,2021-11-12T18:54:17Z,2021-11-13 12:28:48.000000000,2021-11-12 00:00:00.000000000,1 days 12:28:48,1
67,112197,2021-11-12T18:51:00Z,2021-11-16 00:57:36.000000000,2021-11-12 00:00:00.000000000,4 days 00:57:36,4
62,117502,2021-11-12T19:20:59Z,2021-12-22 03:50:24.000000000,2021-11-12 00:00:00.000000000,40 days 03:50:24,40
45,112076,2021-11-12T21:11:05Z,2021-11-23 14:24:00.000000000,2021-11-12 00:00:00.000000000,11 days 14:24:00,11
46,112076,2021-11-13T01:02:12Z,2021-12-11 05:45:36.000000000,2021-11-13 00:00:00.000000000,28 days 05:45:36,28
47,112076,2021-11-13T09:02:52Z,2021-11-30 07:40:48.000000000,2021-11-13 00:00:00.000000000,17 days 07:40:48,17
48,112076,2021-11-13T17:04:48Z,2021-11-26 02:52:48.000000000,2021-11-13 00:00:00.000000000,13 days 02:52:48,13
25,119942,2021-11-13T13:48:10Z,2021-11-12 16:19:12.000000000,2021-11-13 00:00:00.000000000,-1 days +16:19:12,-1
36,111856,2021-11-13T12:07:08Z,2021-12-01 03:50:24.000000000,2021-11-13 00:00:00.000000000,18 days 03:50:24,18
24,119478,2021-11-13T01:09:41Z,2021-11-21 01:55:12.000000000,2021-11-13 00:00:00.000000000,8 days 01:55:12,8
37,116023,2021-11-13T19:08:40Z,2022-01-03 18:14:24.000000000,2021-11-13 00:00:00.000000000,51 days 18:14:24,51
76,114156,2021-11-13T05:56:34Z,2021-12-14 14:24:00.000000000,2021-11-13 00:00:00.000000000,31 days 14:24:00,31
22,117522,2021-11-13T00:18:23Z,2021-11-30 07:40:48.000000000,2021-11-13 00:00:00.000000000,17 days 07:40:48,17
0,115866,2021-11-14T23:12:25Z,2021-12-12 01:55:12.000000000,2021-11-14 00:00:00.000000000,28 days 01:55:12,28
49,112076,2021-11-14T01:04:09Z,2021-11-30 07:40:48.000000000,2021-11-14 00:00:00.000000000,16 days 07:40:48,16
28,120032,2021-11-14T23:32:47Z,2022-01-16 08:38:24.000000000,2021-11-14 00:00:00.000000000,63 days 08:38:24,63
50,112076,2021-11-14T08:57:59Z,2021-12-02 00:00:00.000000000,2021-11-14 00:00:00.000000000,18 days 00:00:00,18
51,112076,2021-11-15T01:04:32Z,2021-12-02 20:09:36.000000000,2021-11-15 00:00:00.000000000,17 days 20:09:36,17
52,112076,2021-11-15T09:07:01Z,2021-12-02 20:09:36.000000000,2021-11-15 00:00:00.000000000,17 days 20:09:36,17
27,119839,2021-11-15T20:27:10Z,2021-12-25 12:28:48.000000000,2021-11-15 00:00:00.000000000,40 days 12:28:48,40
42,100345,2021-11-16T20:06:20Z,2021-12-11 05:45:36.000000000,2021-11-16 00:00:00.000000000,25 days 05:45:36,25
41,100345,2021-11-16T20:04:48Z,2021-12-06 04:48:00.000000000,2021-11-16 00:00:00.000000000,20 days 04:48:00,20
7,109742,2021-11-16T16:19:21Z,2022-01-28 02:52:48.000000000,2021-11-16 00:00:00.000000000,73 days 02:52:48,73
71,112197,2021-11-17T16:20:29Z,2021-11-16 00:57:36.000000000,2021-11-17 00:00:00.000000000,-1 days +00:57:36,-1
70,112197,2021-11-17T16:18:51Z,2021-11-16 00:57:36.000000000,2021-11-17 00:00:00.000000000,-1 days +00:57:36,-1
53,112076,2021-11-18T01:13:22Z,2021-12-15 10:33:36.000000000,2021-11-18 00:00:00.000000000,27 days 10:33:36,27
72,112197,2021-11-18T19:36:57Z,2021-11-16 00:57:36.000000000,2021-11-18 00:00:00.000000000,-2 days +00:57:36,-2
23,117522,2021-11-19T21:37:49Z,2021-11-19 09:36:00.000000000,2021-11-19 00:00:00.000000000,0 days 09:36:00,0
64,112705,2021-11-20T02:25:34Z,2021-12-13 18:14:24.000000000,2021-11-20 00:00:00.000000000,23 days 18:14:24,23
