,user_id,time,0,date,pred_duration,pred_duration_int
80,109742,2021-11-12T21:23:30Z,2022-01-16 08:38:24.000000000,2021-11-12 00:00:00.000000000,65 days 08:38:24,65
81,109742,2021-11-16T16:19:54Z,2022-01-17 04:48:00.000000000,2021-11-16 00:00:00.000000000,62 days 04:48:00,62
82,109742,2021-11-22T17:09:20Z,2022-01-17 04:48:00.000000000,2021-11-22 00:00:00.000000000,56 days 04:48:00,56
83,109742,2021-11-24T15:40:02Z,2022-01-17 04:48:00.000000000,2021-11-24 00:00:00.000000000,54 days 04:48:00,54
84,109742,2021-12-01T23:47:03Z,2022-01-15 12:28:48.000000000,2021-12-01 00:00:00.000000000,45 days 12:28:48,45
85,109742,2021-12-02T17:33:39Z,2022-01-15 12:28:48.000000000,2021-12-02 00:00:00.000000000,44 days 12:28:48,44
73,109742,2021-12-03T17:49:48Z,2022-01-18 04:48:00.000000000,2021-12-03 00:00:00.000000000,46 days 04:48:00,46
74,109742,2021-12-03T18:03:04Z,2022-01-19 21:07:11.999999999,2021-12-03 00:00:00.000000000,47 days 21:07:11.999999999,47
75,109742,2021-12-08T20:04:32Z,2022-01-19 21:07:11.999999999,2021-12-08 00:00:00.000000000,42 days 21:07:11.999999999,42
76,109742,2021-12-09T16:02:30Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,38 days 12:28:48,38
78,109742,2021-12-14T23:44:34Z,2022-01-16 12:28:48.000000000,2021-12-14 00:00:00.000000000,33 days 12:28:48,33
77,109742,2021-12-14T23:41:42Z,2022-01-19 21:07:11.999999999,2021-12-14 00:00:00.000000000,36 days 21:07:11.999999999,36
79,109742,2021-12-15T22:31:23Z,2022-01-19 21:07:11.999999999,2021-12-15 00:00:00.000000000,35 days 21:07:11.999999999,35
80,109742,2021-12-18T20:10:35Z,2022-01-19 00:57:36.000000000,2021-12-18 00:00:00.000000000,32 days 00:57:36,32
81,109742,2021-12-22T05:19:29Z,2022-01-21 13:26:24.000000000,2021-12-22 00:00:00.000000000,30 days 13:26:24,30
207,109742,2021-12-24T18:03:00Z,2022-01-19 21:07:12.000000000,2021-12-24 00:00:00.000000000,26 days 21:07:12,26
208,109742,2021-12-24T18:32:54Z,2022-01-17 08:38:23.999999999,2021-12-24 00:00:00.000000000,24 days 08:38:23.999999999,24
209,109742,2021-12-24T18:50:15Z,2022-01-17 08:38:23.999999999,2021-12-24 00:00:00.000000000,24 days 08:38:23.999999999,24
210,109742,2021-12-24T21:21:49Z,2022-01-18 04:48:00.000000000,2021-12-24 00:00:00.000000000,25 days 04:48:00,25
82,109742,2021-12-24T05:31:45Z,2022-01-21 13:26:24.000000000,2021-12-24 00:00:00.000000000,28 days 13:26:24,28
211,109742,2021-12-25T21:23:24Z,2022-01-22 09:36:00.000000000,2021-12-25 00:00:00.000000000,28 days 09:36:00,28
213,109742,2021-12-27T16:24:57Z,2022-01-24 01:55:12.000000000,2021-12-27 00:00:00.000000000,28 days 01:55:12,28
214,109742,2021-12-27T16:25:08Z,2022-01-23 05:45:36.000000000,2021-12-27 00:00:00.000000000,27 days 05:45:36,27
212,109742,2021-12-27T16:24:32Z,2022-01-22 09:36:00.000000000,2021-12-27 00:00:00.000000000,26 days 09:36:00,26
215,109742,2021-12-28T18:29:12Z,2022-01-19 21:07:12.000000000,2021-12-28 00:00:00.000000000,22 days 21:07:12,22
216,109742,2021-12-29T15:58:34Z,2022-01-19 21:07:12.000000000,2021-12-29 00:00:00.000000000,21 days 21:07:12,21
217,109742,2021-12-29T17:52:24Z,2022-01-19 21:07:12.000000000,2021-12-29 00:00:00.000000000,21 days 21:07:12,21
218,109742,2021-12-31T16:19:25Z,2022-01-16 12:28:48.000000000,2021-12-31 00:00:00.000000000,16 days 12:28:48,16
219,109742,2021-12-31T16:19:42Z,2022-01-16 12:28:48.000000000,2021-12-31 00:00:00.000000000,16 days 12:28:48,16
223,109742,2022-01-03T16:40:36Z,2022-01-13 03:50:24.000000000,2022-01-03 00:00:00.000000000,10 days 03:50:24,10
222,109742,2022-01-03T16:39:27Z,2022-01-14 00:00:00.000000000,2022-01-03 00:00:00.000000000,11 days 00:00:00,11
221,109742,2022-01-03T16:27:53Z,2022-01-14 00:00:00.000000000,2022-01-03 00:00:00.000000000,11 days 00:00:00,11
220,109742,2022-01-03T16:27:32Z,2022-01-13 03:50:24.000000000,2022-01-03 00:00:00.000000000,10 days 03:50:24,10
224,109742,2022-01-04T15:30:58Z,2022-01-15 16:19:12.000000000,2022-01-04 00:00:00.000000000,11 days 16:19:12,11
226,109742,2022-01-05T15:24:56Z,2022-01-13 03:50:24.000000000,2022-01-05 00:00:00.000000000,8 days 03:50:24,8
225,109742,2022-01-05T13:39:31Z,2022-01-14 20:09:36.000000000,2022-01-05 00:00:00.000000000,9 days 20:09:36,9
227,109742,2022-01-06T19:23:58Z,2022-01-12 07:40:48.000000000,2022-01-06 00:00:00.000000000,6 days 07:40:48,6
229,109742,2022-01-07T19:05:50Z,2022-01-12 07:40:48.000000000,2022-01-07 00:00:00.000000000,5 days 07:40:48,5
228,109742,2022-01-07T15:59:19Z,2022-01-12 07:40:48.000000000,2022-01-07 00:00:00.000000000,5 days 07:40:48,5
230,109742,2022-01-08T17:52:29Z,2022-01-13 03:50:24.000000000,2022-01-08 00:00:00.000000000,5 days 03:50:24,5
232,109742,2022-01-10T18:14:37Z,2022-01-14 20:09:36.000000000,2022-01-10 00:00:00.000000000,4 days 20:09:36,4
231,109742,2022-01-10T18:11:38Z,2022-01-14 20:09:36.000000000,2022-01-10 00:00:00.000000000,4 days 20:09:36,4
233,109742,2022-01-12T15:35:10Z,2022-01-16 12:28:48.000000000,2022-01-12 00:00:00.000000000,4 days 12:28:48,4
234,109742,2022-01-13T02:38:00Z,2022-01-16 12:28:48.000000000,2022-01-13 00:00:00.000000000,3 days 12:28:48,3
235,109742,2022-01-13T16:58:07Z,2022-01-17 08:38:23.999999999,2022-01-13 00:00:00.000000000,4 days 08:38:23.999999999,4
80,109742,2022-01-14T17:06:06Z,2022-01-16 12:28:48.000000000,2022-01-14 00:00:00.000000000,2 days 12:28:48,2
81,109742,2022-01-18T17:24:02Z,2022-01-15 16:19:12.000000000,2022-01-18 00:00:00.000000000,-3 days +16:19:12,-3
82,109742,2022-01-19T17:04:19Z,2022-01-14 00:00:00.000000000,2022-01-19 00:00:00.000000000,-5 days +00:00:00,-5
