,user_id,time,0,date,pred_duration,epi_begin,subj_input,subj_input_int,pred_duration_int,decision_output_int
44,112076,2021-11-12T17:50:36Z,2021-12-05 08:38:23.999999999,2021-11-12 00:00:00.000000000,23 days 08:38:23.999999999,2021-07-15,120 days,120,23,143
45,112076,2021-11-12T21:11:05Z,2021-11-23 14:24:00.000000000,2021-11-12 00:00:00.000000000,11 days 14:24:00,2021-07-15,120 days,120,11,131
46,112076,2021-11-13T01:02:12Z,2021-12-11 05:45:36.000000000,2021-11-13 00:00:00.000000000,28 days 05:45:36,2021-07-15,121 days,121,28,149
47,112076,2021-11-13T09:02:52Z,2021-11-30 07:40:48.000000000,2021-11-13 00:00:00.000000000,17 days 07:40:48,2021-07-15,121 days,121,17,138
48,112076,2021-11-13T17:04:48Z,2021-11-26 02:52:48.000000000,2021-11-13 00:00:00.000000000,13 days 02:52:48,2021-07-15,121 days,121,13,134
49,112076,2021-11-14T01:04:09Z,2021-11-30 07:40:48.000000000,2021-11-14 00:00:00.000000000,16 days 07:40:48,2021-07-15,122 days,122,16,138
50,112076,2021-11-14T08:57:59Z,2021-12-02 00:00:00.000000000,2021-11-14 00:00:00.000000000,18 days 00:00:00,2021-07-15,122 days,122,18,140
51,112076,2021-11-15T01:04:32Z,2021-12-02 20:09:36.000000000,2021-11-15 00:00:00.000000000,17 days 20:09:36,2021-07-15,123 days,123,17,140
52,112076,2021-11-15T09:07:01Z,2021-12-02 20:09:36.000000000,2021-11-15 00:00:00.000000000,17 days 20:09:36,2021-07-15,123 days,123,17,140
53,112076,2021-11-18T01:13:22Z,2021-12-15 10:33:36.000000000,2021-11-18 00:00:00.000000000,27 days 10:33:36,2021-07-15,126 days,126,27,153
54,112076,2021-11-20T00:49:53Z,2021-12-12 01:55:12.000000000,2021-11-20 00:00:00.000000000,22 days 01:55:12,2021-07-15,128 days,128,22,150
55,112076,2021-11-23T00:51:03Z,2021-12-16 06:43:12.000000000,2021-11-23 00:00:00.000000000,23 days 06:43:12,2021-07-15,131 days,131,23,154
56,112076,2021-11-24T08:50:53Z,2021-12-15 10:33:36.000000000,2021-11-24 00:00:00.000000000,21 days 10:33:36,2021-07-15,132 days,132,21,153
57,112076,2021-11-24T16:52:53Z,2021-12-19 15:21:36.000000000,2021-11-24 00:00:00.000000000,25 days 15:21:36,2021-07-15,132 days,132,25,157
58,112076,2021-11-30T09:24:03Z,2021-12-18 19:12:00.000000000,2021-11-30 00:00:00.000000000,18 days 19:12:00,2021-07-15,138 days,138,18,156
59,112076,2021-11-30T17:03:12Z,2021-12-20 11:31:12.000000000,2021-11-30 00:00:00.000000000,20 days 11:31:12,2021-07-15,138 days,138,20,158
60,112076,2021-12-01T00:59:54Z,2021-12-21 07:40:48.000000000,2021-12-01 00:00:00.000000000,20 days 07:40:48,2021-07-15,139 days,139,20,159
61,112076,2021-12-03T09:01:33Z,2021-12-23 20:09:36.000000000,2021-12-03 00:00:00.000000000,20 days 20:09:36,2021-07-15,141 days,141,20,161
