,user_id,time,0,date,pred_duration,pred_duration_int
76,114156,2021-11-13T05:56:34Z,2021-12-14 14:24:00.000000000,2021-11-13 00:00:00.000000000,31 days 14:24:00,31
77,114156,2021-11-24T01:59:12Z,2021-12-24 16:19:12.000000000,2021-11-24 00:00:00.000000000,30 days 16:19:12,30
78,114156,2021-11-29T19:02:31Z,2021-12-24 16:19:12.000000000,2021-11-29 00:00:00.000000000,25 days 16:19:12,25
102,114156,2021-12-03T17:14:28Z,2022-01-15 16:19:12.000000000,2021-12-03 00:00:00.000000000,43 days 16:19:12,43
79,114156,2021-12-03T16:57:57Z,2021-12-25 12:28:48.000000000,2021-12-03 00:00:00.000000000,22 days 12:28:48,22
80,114156,2021-12-03T16:58:16Z,2021-12-27 04:48:00.000000000,2021-12-03 00:00:00.000000000,24 days 04:48:00,24
105,114156,2021-12-06T17:30:11Z,2022-01-14 20:09:36.000000000,2021-12-06 00:00:00.000000000,39 days 20:09:36,39
103,114156,2021-12-06T17:29:30Z,2022-01-15 16:19:12.000000000,2021-12-06 00:00:00.000000000,40 days 16:19:12,40
106,114156,2021-12-06T17:31:19Z,2022-01-11 11:31:12.000000000,2021-12-06 00:00:00.000000000,36 days 11:31:12,36
104,114156,2021-12-06T17:29:50Z,2022-01-14 20:09:36.000000000,2021-12-06 00:00:00.000000000,39 days 20:09:36,39
107,114156,2021-12-08T14:58:33Z,2022-01-11 11:31:12.000000000,2021-12-08 00:00:00.000000000,34 days 11:31:12,34
109,114156,2021-12-13T15:28:30Z,2022-01-14 20:09:36.000000000,2021-12-13 00:00:00.000000000,32 days 20:09:36,32
108,114156,2021-12-13T15:28:22Z,2022-01-13 03:50:24.000000000,2021-12-13 00:00:00.000000000,31 days 03:50:24,31
110,114156,2021-12-14T23:59:57Z,2022-01-19 00:57:36.000000000,2021-12-14 00:00:00.000000000,36 days 00:57:36,36
112,114156,2021-12-16T22:32:08Z,2022-01-19 21:07:11.999999999,2021-12-16 00:00:00.000000000,34 days 21:07:11.999999999,34
111,114156,2021-12-16T22:31:45Z,2022-01-19 21:07:11.999999999,2021-12-16 00:00:00.000000000,34 days 21:07:11.999999999,34
113,114156,2021-12-17T16:05:31Z,2022-01-19 00:57:36.000000000,2021-12-17 00:00:00.000000000,33 days 00:57:36,33
115,114156,2021-12-20T15:04:11Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,-17 days +00:00:00,-17
114,114156,2021-12-20T15:03:00Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,-17 days +00:00:00,-17
116,114156,2021-12-22T19:00:59Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,-19 days +00:00:00,-19
117,114156,2021-12-23T15:50:40Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,-20 days +00:00:00,-20
1,114156,2021-12-26T06:51:15Z,2022-02-18 06:43:12.000000000,2021-12-26 00:00:00.000000000,54 days 06:43:12,54
2,114156,2021-12-29T20:31:53Z,2022-02-19 02:52:48.000000000,2021-12-29 00:00:00.000000000,52 days 02:52:48,52
4,114156,2021-12-30T21:54:58Z,2022-02-26 16:19:12.000000000,2021-12-30 00:00:00.000000000,58 days 16:19:12,58
3,114156,2021-12-30T21:54:09Z,2022-02-23 07:40:48.000000000,2021-12-30 00:00:00.000000000,55 days 07:40:48,55
5,114156,2022-01-03T14:59:22Z,2022-02-28 08:38:24.000000000,2022-01-03 00:00:00.000000000,56 days 08:38:24,56
6,114156,2022-01-06T15:22:07Z,2022-03-02 00:57:36.000000000,2022-01-06 00:00:00.000000000,55 days 00:57:36,55
7,114156,2022-01-07T16:56:36Z,2022-03-02 00:57:36.000000000,2022-01-07 00:00:00.000000000,54 days 00:57:36,54
10,114156,2022-01-09T15:42:17Z,2022-03-05 09:36:00.000000000,2022-01-09 00:00:00.000000000,55 days 09:36:00,55
9,114156,2022-01-09T15:42:04Z,2022-03-05 09:36:00.000000000,2022-01-09 00:00:00.000000000,55 days 09:36:00,55
8,114156,2022-01-09T15:41:51Z,2022-03-05 09:36:00.000000000,2022-01-09 00:00:00.000000000,55 days 09:36:00,55
11,114156,2022-01-10T15:27:07Z,2022-03-07 01:55:12.000000000,2022-01-10 00:00:00.000000000,56 days 01:55:12,56
12,114156,2022-01-10T15:27:40Z,2022-03-07 22:04:48.000000000,2022-01-10 00:00:00.000000000,56 days 22:04:48,56
13,114156,2022-01-10T15:27:54Z,2022-03-07 22:04:48.000000000,2022-01-10 00:00:00.000000000,56 days 22:04:48,56
14,114156,2022-01-12T15:34:18Z,2022-03-09 14:24:00.000000000,2022-01-12 00:00:00.000000000,56 days 14:24:00,56
15,114156,2022-01-13T15:31:33Z,2022-03-08 18:14:24.000000000,2022-01-13 00:00:00.000000000,54 days 18:14:24,54
16,114156,2022-01-14T16:08:28Z,2022-03-07 22:04:48.000000000,2022-01-14 00:00:00.000000000,52 days 22:04:48,52
55,114156,2022-01-15T07:06:01Z,2022-03-28 01:55:12.000000000,2022-01-15 00:00:00.000000000,72 days 01:55:12,72
56,114156,2022-01-17T16:15:29Z,2022-03-27 05:45:36.000000000,2022-01-17 00:00:00.000000000,69 days 05:45:36,69
57,114156,2022-01-17T16:15:46Z,2022-03-27 05:45:36.000000000,2022-01-17 00:00:00.000000000,69 days 05:45:36,69
58,114156,2022-01-20T18:10:47Z,2022-03-27 05:45:36.000000000,2022-01-20 00:00:00.000000000,66 days 05:45:36,66
59,114156,2022-01-21T16:04:30Z,2022-03-27 05:45:36.000000000,2022-01-21 00:00:00.000000000,65 days 05:45:36,65
60,114156,2022-01-21T16:04:47Z,2022-03-27 05:45:36.000000000,2022-01-21 00:00:00.000000000,65 days 05:45:36,65
61,114156,2022-01-24T18:01:00Z,2022-03-27 05:45:36.000000000,2022-01-24 00:00:00.000000000,62 days 05:45:36,62
62,114156,2022-01-24T18:01:39Z,2022-03-26 09:36:00.000000000,2022-01-24 00:00:00.000000000,61 days 09:36:00,61
63,114156,2022-02-03T20:14:11Z,2022-03-24 17:16:48.000000000,2022-02-03 00:00:00.000000000,49 days 17:16:48,49
