fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
51001,US,VA,Accomack County,county,,iso1:us#iso2:us-va#fips:51001,,32316,0.033,other,6.6,,0.82,0.89,,,0.51,1,1,1,4,0,,0,6929,103,,,,46,27,1,,10,5,0,,4,,22964,21497,2022-03-15,https://covidactnow.org/us/virginia-va/county/accomack_county,0.711,0.665,0,45767,1,,
51003,US,VA,Albemarle County,county,,iso1:us#iso2:us-va#fips:51003,,109330,0.044,other,12.5,,0.58,0.31,,,0.34,2,1,2,4,0,,0,15789,146,,,,158,107,3,,26,8,0,,33,,94284,87744,2022-03-15,https://covidactnow.org/us/virginia-va/county/albemarle_county,0.862,0.803,0,200114,2,,
51005,US,VA,Alleghany County,county,,iso1:us#iso2:us-va#fips:51005,,14860,0.04,other,21.1,,0.59,0.74,,,0.36,2,1,2,4,0,,0,3544,93,,,,110,23,1,,10,3,1,,0,,9223,8081,2022-03-15,https://covidactnow.org/us/virginia-va/county/alleghany_county,0.621,0.544,0,18342,3,,
51007,US,VA,Amelia County,county,,iso1:us#iso2:us-va#fips:51007,,13145,0.016,other,10.9,,0.7,1.01,,,,2,0,2,4,0,,4,2587,59,,,,,,,,,,,,0,,7522,6994,2022-03-15,https://covidactnow.org/us/virginia-va/county/amelia_county,0.572,0.532,0,14630,2,,
51009,US,VA,Amherst County,county,,iso1:us#iso2:us-va#fips:51009,,31605,0.094,other,26.7,,0.68,0.44,,,,3,1,3,4,0,,4,7073,84,,,,,,,,,,,,21,,17997,16644,2022-03-15,https://covidactnow.org/us/virginia-va/county/amherst_county,0.569,0.527,0,38236,3,,
51011,US,VA,Appomattox County,county,,iso1:us#iso2:us-va#fips:51011,,15911,0.088,other,22.4,,0.69,0.68,,,,2,1,2,4,0,,4,3710,51,,,,,,,,,,,,8,,8610,7881,2022-03-15,https://covidactnow.org/us/virginia-va/county/appomattox_county,0.541,0.495,0,17904,3,,
51013,US,VA,Arlington County,county,,iso1:us#iso2:us-va#fips:51013,,236842,0.029,other,13.9,,0.9,0.27,,,0.46,2,0,2,4,0,,0,40557,321,,,,483,354,8,,32,14,1,,68,,225698,205156,2022-03-15,https://covidactnow.org/us/virginia-va/county/arlington_county,0.95,0.866,1,421648,2,,
51015,US,VA,Augusta County,county,,iso1:us#iso2:us-va#fips:51015,,75558,0.123,other,10.0,,0.62,0.4,,,0.63,2,2,1,4,0,,0,18858,203,,,,188,150,10,,14,8,1,,4,,46035,44404,2022-03-15,https://covidactnow.org/us/virginia-va/county/augusta_county,0.609,0.588,0,95751,3,,
51017,US,VA,Bath County,county,,iso1:us#iso2:us-va#fips:51017,,4147,0.15,other,17.2,,0.92,1.05,,,,2,2,2,4,1,,4,887,19,,,,25,2,0,,,,,,3,,2496,2254,2022-03-15,https://covidactnow.org/us/virginia-va/county/bath_county,0.602,0.544,0,5129,3,,
51019,US,VA,Bedford County,county,,iso1:us#iso2:us-va#fips:51019,,78997,0.08,other,24.4,,0.74,0.32,,,0.81,2,1,2,4,0,,2,16678,225,,,,28,24,1,,6,4,,,26,,46890,42812,2022-03-15,https://covidactnow.org/us/virginia-va/county/bedford_county,0.594,0.542,3,96746,3,,
