date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
2020-03-03,US,VA,,51,,,iso1:us#iso2:us-va,,,1,2,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,
2020-03-04,US,VA,,51,,,iso1:us#iso2:us-va,,,1,8,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,
2020-03-05,US,VA,,51,,,iso1:us#iso2:us-va,,,1,8,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,
2020-03-06,US,VA,,51,,,iso1:us#iso2:us-va,,,1,11,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,
2020-03-07,US,VA,,51,,,iso1:us#iso2:us-va,1,0,1,11,,,,,,,,,,,,,,0.077,,0.0,,,,,,,0,,,,,0,1,,
2020-03-08,US,VA,,51,,,iso1:us#iso2:us-va,2,0,1,11,,,,,,,,,,1,,,,0.062,,0.0,,,,,,,0,,,0,,0,1,,
2020-03-09,US,VA,,51,,,iso1:us#iso2:us-va,5,0,1,21,,,,,,,,,,3,,,,0.05,,0.0,,1.47,0.94,,,,0,,,0,,0,1,,
2020-03-10,US,VA,,51,,,iso1:us#iso2:us-va,8,0,1,33,,,,,,,,,,3,,,,0.031,,0.0,,1.51,0.57,,,,0,,,0,,0,0,,
2020-03-11,US,VA,,51,,,iso1:us#iso2:us-va,10,0,3,64,,,,,,,,,,2,,,,0.034,,0.0,,1.54,0.5,,,,0,,,0,,0,0,,
2020-03-12,US,VA,,51,,,iso1:us#iso2:us-va,17,0,3,156,,,,,,,,,,7,,,,0.026,,0.0,,1.58,0.48,,,,0,,,0,,0,0,,
