report_date,fips,total_cases,hospitalizations,deaths
2020-03-17T00:00:00.000,6818111,67,18,2
2020-03-18T00:00:00.000,6818111,77,17,2
2020-03-19T00:00:00.000,6818111,94,18,2
2020-03-20T00:00:00.000,6818111,114,20,2
2020-03-21T00:00:00.000,6818111,152,25,2
2020-03-22T00:00:00.000,6818111,219,32,3
2020-03-23T00:00:00.000,6818111,254,38,6
2020-03-24T00:00:00.000,6818111,290,45,6
2020-03-25T00:00:00.000,6818111,391,59,9
2020-03-26T00:00:00.000,6818111,460,65,13
2020-03-27T00:00:00.000,6818111,604,83,14
2020-03-28T00:00:00.000,6818111,739,99,17
2020-03-29T00:00:00.000,6818111,890,112,22
2020-03-30T00:00:00.000,6818111,1020,136,25
2020-03-31T00:00:00.000,6818111,1250,165,27
2020-04-01T00:00:00.000,6818111,1484,208,34
2020-04-02T00:00:00.000,6818111,1706,246,41
2020-04-03T00:00:00.000,6818111,2012,312,46
2020-04-04T00:00:00.000,6818111,2407,390,52
2020-04-05T00:00:00.000,6818111,2637,431,51
2020-04-06T00:00:00.000,6818111,2878,497,54
2020-04-07T00:00:00.000,6818111,3333,563,63
2020-04-08T00:00:00.000,6818111,3645,615,75
2020-04-09T00:00:00.000,6818111,4042,685,109
2020-04-10T00:00:00.000,6818111,4509,772,121
2020-04-11T00:00:00.000,6818111,5077,837,130
2020-04-12T00:00:00.000,6818111,5274,872,141
2020-04-13T00:00:00.000,6818111,5747,903,149
2020-04-14T00:00:00.000,6818111,6171,978,154
2020-04-15T00:00:00.000,6818111,6500,1048,195
2020-04-16T00:00:00.000,6818111,6889,1114,208
2020-04-17T00:00:00.000,6818111,7491,1221,231
2020-04-18T00:00:00.000,6818111,8053,1296,258
2020-04-19T00:00:00.000,6818111,8537,1422,277
2020-04-20T00:00:00.000,6818111,8990,1500,300
2020-04-21T00:00:00.000,6818111,9630,1581,324
2020-04-22T00:00:00.000,6818111,10266,1659,349
2020-04-23T00:00:00.000,6818111,10998,1753,372
2020-04-24T00:00:00.000,6818111,11594,1837,410
2020-04-25T00:00:00.000,6818111,12366,1942,436
2020-04-26T00:00:00.000,6818111,12970,2014,448
2020-04-27T00:00:00.000,6818111,13535,2066,458
2020-04-28T00:00:00.000,6818111,14339,2165,492
2020-04-29T00:00:00.000,6818111,14961,2259,522
2020-04-30T00:00:00.000,6818111,15846,2322,552
2020-05-01T00:00:00.000,6818111,16901,2416,581
2020-05-02T00:00:00.000,6818111,17731,2519,616
2020-05-03T00:00:00.000,6818111,18671,2627,660
2020-05-04T00:00:00.000,6818111,19492,2700,684
2020-05-05T00:00:00.000,6818111,20256,2773,713
2020-05-06T00:00:00.000,6818111,20985,2890,737
2020-05-07T00:00:00.000,6818111,21570,2955,769
