decision_date,best_prior
2021-11-12,47
2021-11-16,43
2021-11-22,37
2021-11-24,43
2021-12-01,50
2021-12-02,50
2021-12-03,46
2021-12-03,46
2021-12-08,46
2021-12-09,47
2021-12-14,47
2021-12-14,46
2021-12-15,46
2021-12-18,46
2021-12-22,54
2021-12-24,46
2021-12-24,51
2021-12-24,51
2021-12-24,46
2021-12-24,54
2021-12-25,58
2021-12-27,55
2021-12-27,55
2021-12-27,58
2021-12-28,46
2021-12-29,46
2021-12-29,46
2021-12-31,47
2021-12-31,47
2022-01-03,45
2022-01-03,43
2022-01-03,43
2022-01-03,45
2022-01-04,41
2022-01-05,45
2022-01-05,43
2022-01-06,38
2022-01-07,38
2022-01-07,38
2022-01-08,37
2022-01-10,36
2022-01-10,36
2022-01-12,43
2022-01-13,43
2022-01-13,37
2022-01-14,43
2022-01-18,39
2022-01-19,39
