decision_date,best_prior
2021-11-12,20
2021-11-12,34
2021-11-12,20
2021-11-12,20
2021-11-13,33
2021-11-13,39
2021-11-13,38
2021-11-14,30
2021-11-17,33
2021-11-17,32
2021-11-18,34
2021-11-19,32
2021-11-23,37
2021-11-23,37
2021-11-26,35
2021-11-27,25
2021-11-28,25
2021-11-30,40
2021-11-30,40
2021-12-02,39
2021-12-04,44
2021-12-05,54
2021-12-08,54
2021-12-09,54
2021-12-09,54
2021-12-10,51
2021-12-11,48
2021-12-13,53
2021-12-14,54
2021-12-16,54
2021-12-16,54
2021-12-17,54
2021-12-17,54
2021-12-18,54
2021-12-20,54
2021-12-22,52
2021-12-22,54
2021-12-23,52
2021-12-23,52
2021-12-25,44
2021-12-26,43
2021-12-26,44
2021-12-27,44
2021-12-28,51
2021-12-28,54
2021-12-28,53
2021-12-29,42
2021-12-29,51
2021-12-30,48
2021-12-30,48
2021-12-30,48
2021-12-31,42
2022-01-01,42
2022-01-02,42
2022-01-02,42
2022-01-03,46
2022-01-03,42
2022-01-04,42
2022-01-04,42
2022-01-04,42
2022-01-05,47
2022-01-06,36
2022-01-06,36
2022-01-06,33
2022-01-07,36
2022-01-07,36
2022-01-07,36
2022-01-08,38
2022-01-08,47
2022-01-08,37
2022-01-09,47
2022-01-09,42
2022-01-10,33
2022-01-10,33
2022-01-10,33
2022-01-11,33
2022-01-11,33
2022-01-11,33
2022-01-12,31
2022-01-12,31
2022-01-13,46
2022-01-13,46
2022-01-13,31
2022-01-14,45
2022-01-15,33
2022-01-16,33
2022-01-16,33
2022-01-17,33
2022-01-17,33
2022-01-17,33
2022-01-18,33
2022-01-18,33
2022-01-19,33
2022-01-19,33
2022-01-19,33
2022-01-20,33
2022-01-20,33
2022-01-22,33
2022-01-22,33
2022-01-22,33
2022-01-23,33
2022-01-24,33
2022-01-24,33
2022-01-24,33
2022-01-25,33
2022-01-25,33
2022-01-27,33
2022-01-27,33
