decision_date,best_prior
2021-12-25,99
2021-12-25,62
2021-12-25,96
2021-12-25,108
2021-12-25,96
2021-12-25,87
2021-12-26,92
2021-12-26,74
2021-12-26,101
2021-12-26,102
2021-12-27,76
2021-12-27,92
2021-12-27,64
2021-12-27,88
2021-12-27,101
2021-12-27,96
2021-12-27,74
2021-12-27,81
2021-12-28,85
2021-12-28,92
2021-12-28,102
2021-12-29,92
2021-12-29,100
2021-12-29,102
2021-12-29,96
2021-12-29,94
2021-12-29,83
2021-12-29,105
2021-12-29,86
2021-12-29,83
2021-12-29,94
2021-12-30,99
2021-12-30,102
2021-12-30,92
2021-12-30,92
2021-12-30,102
2021-12-30,96
2021-12-30,85
2021-12-30,81
2021-12-31,100
2021-12-31,102
2022-01-01,114
2022-01-02,102
2022-01-02,102
2022-01-02,108
2022-01-02,69
2022-01-02,72
2022-01-02,74
2022-01-03,92
2022-01-03,102
2022-01-03,105
2022-01-03,105
2022-01-03,102
2022-01-03,83
2022-01-03,102
2022-01-03,87
2022-01-04,92
2022-01-04,101
2022-01-04,96
2022-01-05,102
2022-01-05,102
2022-01-05,105
2022-01-05,102
2022-01-05,92
2022-01-06,92
2022-01-06,99
2022-01-07,102
2022-01-07,92
2022-01-07,99
2022-01-07,92
2022-01-07,102
2022-01-07,92
2022-01-07,92
2022-01-07,102
2022-01-08,102
2022-01-09,96
2022-01-09,108
2022-01-09,96
2022-01-09,96
2022-01-10,96
2022-01-10,102
2022-01-10,92
2022-01-10,92
2022-01-10,102
2022-01-10,92
2022-01-11,92
2022-01-11,92
2022-01-11,92
2022-01-12,92
2022-01-12,102
2022-01-12,102
2022-01-12,92
2022-01-12,92
2022-01-13,92
2022-01-13,92
2022-01-13,102
2022-01-13,105
2022-01-13,96
2022-01-13,92
2022-01-13,105
2022-01-13,101
2022-01-13,102
2022-01-13,102
2022-01-13,92
2022-01-13,108
2022-01-13,102
2022-01-13,102
2022-01-13,105
2022-01-13,92
2022-01-14,120
2022-01-14,126
2022-01-14,120
2022-01-14,112
2022-01-14,118
2022-01-14,122
2022-01-14,100
2022-01-14,92
2022-01-14,125
2022-01-15,122
2022-01-15,120
2022-01-15,124
2022-01-15,125
2022-01-16,120
2022-01-16,122
2022-01-16,122
2022-01-17,126
2022-01-17,126
2022-01-17,121
2022-01-17,131
2022-01-17,122
2022-01-18,124
2022-01-18,125
2022-01-18,125
2022-01-18,120
2022-01-19,131
2022-01-20,126
2022-01-20,131
2022-01-20,125
2022-01-20,120
2022-01-21,124
2022-01-21,126
2022-01-21,126
2022-01-21,122
2022-01-21,122
2022-01-21,125
2022-01-22,131
2022-01-23,125
2022-01-23,122
2022-01-23,125
2022-01-23,122
2022-01-23,124
2022-01-23,123
2022-01-23,125
2022-01-24,123
2022-01-24,126
2022-01-24,126
2022-01-25,125
2022-01-27,125
2022-01-30,120
2022-01-31,125
2022-01-31,120
2022-01-31,125
2022-02-01,125
2022-02-01,123
2022-02-01,131
2022-02-01,125
2022-02-01,131
2022-02-01,125
2022-02-01,125
2022-02-01,125
2022-02-02,122
2022-02-02,125
2022-02-02,125
2022-02-03,122
2022-02-03,124
2022-02-03,111
2022-02-03,125
2022-02-03,125
2022-02-03,125
2022-02-03,125
2022-02-03,124
2022-02-03,125
2022-02-04,131
