decision_date,best_prior
2021-12-25,64
2021-12-25,95
2021-12-25,105
2021-12-25,95
2021-12-25,90
2021-12-26,106
2021-12-27,74
2021-12-27,61
2021-12-27,90
2021-12-27,106
2021-12-27,80
2021-12-28,101
2021-12-29,83
2021-12-29,83
2021-12-31,95
2021-12-31,101
2022-01-01,109
2022-01-02,105
2022-01-02,70
2022-01-02,75
2022-01-02,78
2022-01-03,86
2022-01-03,102
2022-01-04,104
2022-01-04,106
2022-01-05,102
2022-01-05,101
2022-01-05,93
2022-01-06,104
2022-01-07,97
2022-01-07,101
2022-01-07,102
2022-01-09,105
2022-01-10,99
2022-01-10,102
2022-01-11,97
2022-01-11,104
2022-01-12,101
2022-01-13,104
2022-01-13,102
2022-01-13,99
2022-01-13,97
2022-01-13,102
2022-01-13,106
2022-01-13,105
2022-01-13,102
2022-01-13,102
2022-01-14,110
2022-01-14,126
2022-01-14,95
2022-01-14,124
2022-01-15,124
2022-01-15,124
2022-01-16,119
2022-01-17,121
2022-01-17,124
2022-01-18,133
2022-01-18,133
2022-01-19,124
2022-01-20,124
2022-01-20,133
2022-01-21,124
2022-01-22,124
2022-01-23,133
2022-01-23,133
2022-01-23,124
2022-01-25,133
2022-01-27,133
2022-01-30,119
2022-02-01,121
2022-02-01,124
2022-02-01,124
2022-02-01,124
2022-02-01,133
2022-02-01,133
2022-02-03,124
2022-02-03,133
2022-02-03,124
2022-02-03,133
2022-02-03,133
2022-02-04,124
