,user_id,time,0,date,date_hms
69,112197,2021-11-12T18:56:24Z,2021-11-13 12:28:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:56:24.000000000
68,112197,2021-11-12T18:54:17Z,2021-11-13 12:28:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:54:17.000000000
31,112076,2021-11-12T17:50:19Z,2021-12-14 14:24:00.000000000,2021-11-12 00:00:00.000000000,2021-11-12 17:50:19.000000000
32,112076,2021-11-12T17:50:22Z,2021-12-17 23:02:24.000000000,2021-11-12 00:00:00.000000000,2021-11-12 17:50:22.000000000
33,112076,2021-11-12T17:50:25Z,2021-12-17 02:52:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 17:50:25.000000000
34,112076,2021-11-12T21:11:17Z,2022-01-01 05:45:36.000000000,2021-11-12 00:00:00.000000000,2021-11-12 21:11:17.000000000
45,112076,2021-11-12T21:11:05Z,2021-11-23 14:24:00.000000000,2021-11-12 00:00:00.000000000,2021-11-12 21:11:05.000000000
20,112033,2021-11-12T17:48:02Z,2021-11-22 18:14:24.000000000,2021-11-12 00:00:00.000000000,2021-11-12 17:48:02.000000000
1,112033,2021-11-12T17:47:40Z,2022-01-14 16:19:12.000000000,2021-11-12 00:00:00.000000000,2021-11-12 17:47:40.000000000
74,107445,2021-11-12T20:27:32Z,2021-12-18 19:12:00.000000000,2021-11-12 00:00:00.000000000,2021-11-12 20:27:32.000000000
51,107445,2021-11-12T20:28:50Z,2021-12-25 12:28:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 20:28:50.000000000
44,112076,2021-11-12T17:50:36Z,2021-12-05 08:38:23.999999999,2021-11-12 00:00:00.000000000,2021-11-12 17:50:36.000000000
6,109742,2021-11-12T21:17:35Z,2022-01-27 06:43:12.000000000,2021-11-12 00:00:00.000000000,2021-11-12 21:17:35.000000000
62,117502,2021-11-12T19:20:59Z,2021-12-22 03:50:24.000000000,2021-11-12 00:00:00.000000000,2021-11-12 19:20:59.000000000
80,109742,2021-11-12T21:23:30Z,2022-01-16 08:38:24.000000000,2021-11-12 00:00:00.000000000,2021-11-12 21:23:30.000000000
67,112197,2021-11-12T18:51:00Z,2021-11-16 00:57:36.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:51:00.000000000
73,112197,2021-11-12T18:37:46Z,2022-01-10 11:31:12.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:37:46.000000000
73,107445,2021-11-12T20:27:04Z,2021-12-24 16:19:12.000000000,2021-11-12 00:00:00.000000000,2021-11-12 20:27:04.000000000
5,109742,2021-11-12T21:11:56Z,2022-01-17 04:48:00.000000000,2021-11-12 00:00:00.000000000,2021-11-12 21:11:56.000000000
71,112197,2021-11-12T18:34:29Z,2022-01-15 12:28:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:34:29.000000000
68,117502,2021-11-12T19:27:59Z,2021-12-16 06:43:12.000000000,2021-11-12 00:00:00.000000000,2021-11-12 19:27:59.000000000
72,112197,2021-11-12T18:35:43Z,2022-01-11 07:40:48.000000000,2021-11-12 00:00:00.000000000,2021-11-12 18:35:43.000000000
29,111856,2021-11-13T12:02:22Z,2021-11-26 02:52:48.000000000,2021-11-13 00:00:00.000000000,2021-11-13 12:02:22.000000000
47,112076,2021-11-13T09:02:52Z,2021-11-30 07:40:48.000000000,2021-11-13 00:00:00.000000000,2021-11-13 09:02:52.000000000
5,119942,2021-11-13T13:46:43Z,2022-01-06 06:43:12.000000000,2021-11-13 00:00:00.000000000,2021-11-13 13:46:43.000000000
37,116023,2021-11-13T19:08:40Z,2022-01-03 18:14:24.000000000,2021-11-13 00:00:00.000000000,2021-11-13 19:08:40.000000000
