,user_id,time,0,date,date_hms
128,109742,2021-12-03T17:48:45Z,2022-02-19 02:52:48.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:48:45.000000000
19,115725,2021-12-03T17:38:53Z,2022-02-21 15:21:36.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:38:53.000000000
130,109742,2021-12-03T18:13:43Z,2022-02-20 19:12:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:13:43.000000000
20,115725,2021-12-03T18:01:53Z,2022-02-21 15:21:36.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:01:53.000000000
127,109742,2021-12-03T17:48:27Z,2022-02-16 14:24:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:48:27.000000000
138,107445,2021-12-03T18:05:48Z,2022-02-04 00:00:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:05:48.000000000
18,115725,2021-12-03T17:37:35Z,2022-02-22 11:31:12.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:37:35.000000000
17,115725,2021-12-03T17:35:29Z,2022-02-24 03:50:24.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:35:29.000000000
129,109742,2021-12-03T18:12:34Z,2022-02-20 19:12:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:12:34.000000000
102,114156,2021-12-03T17:14:28Z,2022-01-15 16:19:12.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:14:28.000000000
3,118777,2021-12-03T17:06:13Z,2022-02-08 04:48:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:06:13.000000000
80,112197,2021-12-03T22:08:39Z,2021-12-06 08:38:24.000000000,2021-12-03 00:00:00.000000000,2021-12-03 22:08:39.000000000
23,115725,2021-12-04T15:17:40Z,2022-02-20 19:12:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 15:17:40.000000000
21,115725,2021-12-04T15:14:56Z,2022-02-21 15:21:36.000000000,2021-12-04 00:00:00.000000000,2021-12-04 15:14:56.000000000
24,115725,2021-12-04T23:06:31Z,2022-02-19 23:02:24.000000000,2021-12-04 00:00:00.000000000,2021-12-04 23:06:31.000000000
25,115725,2021-12-04T23:39:36Z,2022-02-09 21:07:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 23:39:36.000000000
22,115725,2021-12-04T15:17:09Z,2022-02-21 15:21:36.000000000,2021-12-04 00:00:00.000000000,2021-12-04 15:17:09.000000000
124,113141,2021-12-04T09:14:08Z,2021-12-25 16:19:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 09:14:08.000000000
123,119478,2021-12-04T12:00:52Z,2021-12-08 21:07:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 12:00:52.000000000
47,112076,2021-12-04T16:54:03Z,2022-01-09 19:12:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 16:54:03.000000000
95,100345,2021-12-04T01:50:44Z,2021-12-03 00:00:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 01:50:44.000000000
6,117502,2021-12-04T02:12:39Z,2022-02-04 20:09:36.000000000,2021-12-04 00:00:00.000000000,2021-12-04 02:12:39.000000000
126,120408,2021-12-04T07:47:44Z,2021-12-14 18:14:24.000000000,2021-12-04 00:00:00.000000000,2021-12-04 07:47:44.000000000
1,120491,2021-12-04T17:21:41Z,2022-02-23 07:40:48.000000000,2021-12-04 00:00:00.000000000,2021-12-04 17:21:41.000000000
122,119839,2021-12-04T19:24:38Z,2021-12-06 08:38:24.000000000,2021-12-04 00:00:00.000000000,2021-12-04 19:24:38.000000000
49,112076,2021-12-05T08:54:13Z,2021-12-12 05:45:36.000000000,2021-12-05 00:00:00.000000000,2021-12-05 08:54:13.000000000
73,116812,2021-12-05T18:36:38Z,2022-02-13 05:45:36.000000000,2021-12-05 00:00:00.000000000,2021-12-05 18:36:38.000000000
118,111856,2021-12-05T09:12:20Z,2021-12-31 13:26:24.000000000,2021-12-05 00:00:00.000000000,2021-12-05 09:12:20.000000000
48,112076,2021-12-05T01:26:46Z,2021-12-12 05:45:36.000000000,2021-12-05 00:00:00.000000000,2021-12-05 01:26:46.000000000
